author_given	author_family	affiliation	DOI
Pa Ousman	Jobe	Albers School of Business &amp; Economics, Seattle University	10.1145/3442188.3445938
Franziska	Putz	Oxford Department of International Development, University of Oxford	10.1145/3442188.3445938
Brian	Robick	ACLU of Washington	10.1145/3442188.3445938
Bissan	Barghouti	ACLU of Washington	10.1145/3442188.3445938
Luke	Stark	Faculty of Information and Media Studies, University of Western Ontario, London ON Canada	10.1145/3442188.3445939
Jesse	Hoey	David R. Cheriton School of Computer Science, University of Waterloo, Waterloo ON Canada	10.1145/3442188.3445939
Elena	Beretta	Nexa Center for Internet &amp; Society, Department of Control and Computer Engineering, Politecnico di Torino, Turin, Italy Fondazione Bruno Kessler Trento, Italy	10.1145/3442188.3445940
Antonio	VetrÃ²	Nexa Center for Internet &amp; Society, Department of Control and Computer Engineering, Politecnico di Torino, Turin, Italy	10.1145/3442188.3445940
Bruno	Lepri	Fondazione Bruno Kessler, Trento, Italy	10.1145/3442188.3445940
Juan Carlos De	Martin	Nexa Center for Internet &amp; Society, Department of Control and Computer Engineering, Politecnico di Torino, Turin, Italy	10.1145/3442188.3445940
SÃ©rgio	Jesus	Feedzai, DCC-FCUP, Universidade do Porto	10.1145/3442188.3445941
Catarina	BelÃ©m	Feedzai	10.1145/3442188.3445941
Vladimir	Balayan	Feedzai	10.1145/3442188.3445941
JoÃ£o	Bento	Feedzai	10.1145/3442188.3445941
Pedro	Saleiro	Feedzai	10.1145/3442188.3445941
Pedro	Bizarro	Feedzai	10.1145/3442188.3445941
JoÃ£o	Gama	LIAAD, INESCTEC, Universidade do Porto	10.1145/3442188.3445941
Kathleen	Creel	Stanford University, Palo Alto, California, USA	10.1145/3442188.3445942
Deborah	Hellman	University of Virginia, Charlottesville, Virginia, USA	10.1145/3442188.3445942
Leif	Hancox-Li	Capital One, New York, New York, USA	10.1145/3442188.3445943
I. Elizabeth	Kumar	University of Utah, Salt Lake City, UT, USA	10.1145/3442188.3445943
Joshua	Williams	Computer Science Department, Carnegie Mellon University	10.1145/3442188.3445908
J. Zico	Kolter	Computer Science Department, Carnegie Mellon University Bosch Center for AI	10.1145/3442188.3445908
Nil-Jana	Akpinar	Department of Statistics and Data Science &amp; Machine Learning Department, Carnegie Mellon University	10.1145/3442188.3445877
Maria	De-Arteaga	Information, Risk, and Operations, Management Department, McCombs School of Business, University of Texas at Austin	10.1145/3442188.3445877
Alexandra	Chouldechova	Heinz College &amp; Department of Statistics and Data Science, Carnegie Mellon University	10.1145/3442188.3445877
Hong	Shen	Carnegie Mellon University, Pittsburgh, PA, USA	10.1145/3442188.3445971
Wesley H.	Deng	University of California, Berkeley Berkeley, CA, USA	10.1145/3442188.3445971
Aditi	Chattopadhyay	Carnegie Mellon University, Pittsburgh, PA, USA	10.1145/3442188.3445971
Zhiwei Steven	Wu	Carnegie Mellon University, Pittsburgh, PA, USA	10.1145/3442188.3445971
Xu	Wang	University of Michigan Ann Arbor, MI, USA	10.1145/3442188.3445971
Haiyi	Zhu	Carnegie Mellon University, Pittsburgh, PA, USA	10.1145/3442188.3445971
Jwala	Dhamala	Amazon Alexa AI-NU, USA	10.1145/3442188.3445924
Tony	Sun	UC Santa Barbara, USA	10.1145/3442188.3445924
Varun	Kumar	Amazon Alexa AI-NU, USA	10.1145/3442188.3445924
Satyapriya	Krishna	Amazon Alexa AI-NU, USA	10.1145/3442188.3445924
Yada	Pruksachatkun	Amazon Alexa AI-NU, USA	10.1145/3442188.3445924
Kai-Wei	Chang	Amazon Alexa AI-NU, UCLA USA	10.1145/3442188.3445924
Rahul	Gupta	Amazon Alexa AI-NU, USA	10.1145/3442188.3445924
Abhisek	Dash	Indian Institute of Technology, Kharagpur, India	10.1145/3442188.3445944
Abhijnan	Chakraborty	Indian Institute of Technology, Delhi, India	10.1145/3442188.3445944
Saptarshi	Ghosh	Indian Institute of Technology, Kharagpur, India	10.1145/3442188.3445944
Animesh	Mukherjee	Indian Institute of Technology, Kharagpur, India	10.1145/3442188.3445944
Krishna P.	Gummadi	Max Planck Institute for Software, Systems, Germany	10.1145/3442188.3445944
Madalina	Vlasceanu	New York University, USA	10.1145/3531146.3533069
Miroslav	Dudik	Microsoft Research, USA	10.1145/3531146.3533069
Ida	Momennejad	Microsoft Research, USA	10.1145/3531146.3533069
Junyuan	Hong	Michigan State University, USA	10.1145/3531146.3533070
Zhangyang	Wang	University of Texas at Austin, USA	10.1145/3531146.3533070
Jiayu	Zhou	Michigan State University, USA	10.1145/3531146.3533070
Adriane	Chapman	University of Southampton, United Kingdom	10.1145/3531146.3533071
Philip	Grylls	University of Southampton, United Kingdom	10.1145/3531146.3533071
Pamela	Ugwudike	University of Southampton, United Kingdom	10.1145/3531146.3533071
David	Gammack	University of Southampton, United Kingdom	10.1145/3531146.3533071
Jacqui	Ayling	University of Southampton, United Kingdom	10.1145/3531146.3533071
Garfield	Benjamin	Sociology, Solent University, United Kingdom	10.1145/3531146.3533072
Lukas	Struppek	Department of Computer Science, Technical University of Darmstadt, Germany	10.1145/3531146.3533073
Dominik	Hintersdorf	Department of Computer Science, Technical University of Darmstadt, Germany	10.1145/3531146.3533073
Daniel	Neider	Max Planck Institute for Software Systems, Germany and Safety and Explainability of Learning Systems, Carl von Ossietzky University of Oldenburg, Germany	10.1145/3531146.3533073
Kristian	Kersting	Department of Computer Science and Centre for Cognitive Science, Technical University of Darmstadt, Germany and Hessian Center for Artificial Intelligence, Germany	10.1145/3531146.3533073
Priya	Goyal	Meta, USA	10.1145/3531146.3533074
Adriana Romero	Soriano	Meta, Canada	10.1145/3531146.3533074
Caner	Hazirbas	Meta, USA	10.1145/3531146.3533074
Levent	Sagun	Meta, France	10.1145/3531146.3533074
Nicolas	Usunier	Meta, France	10.1145/3531146.3533074
Katharina	Simbeck	HTW Berlin, Germany	10.1145/3531146.3533076
Chiara	Longoni	Boston University, Questrom School of Business, USA	10.1145/3531146.3533077
Andrey	Fradkin	Boston University, Questrom School of Business, USA	10.1145/3531146.3533077
Luca	Cian	University of Virginia, Darden School of Business, USA	10.1145/3531146.3533077
Gordon	Pennycook	Hill/Levene Schools of Business, University of Regina, Canada	10.1145/3531146.3533077
Nicholas	Asher	Institut de Recherche en Informatique de Toulouse, Centre Nationale de Recherche Scientifique, France	10.1145/3531146.3533078
Julie	Hunter	LINAGORA Labs, France	10.1145/3531146.3533078
Xiuling	Wang	Stevens institute of technology, USA	10.1145/3531146.3533079
Wendy Hui	Wang	Stevens institute of technology, USA	10.1145/3531146.3533079
Severin	Engelmann	Chair of Cyber Trust, Department of Informatics, Technical University Munich, Germany	10.1145/3531146.3533080
Chiara	Ullstein	Chair of Cyber Trust, Department of Informatics, Technical University Munich, Germany	10.1145/3531146.3533080
Orestis	Papakyriakopoulos	Princeton University, USA	10.1145/3531146.3533080
Jens	Grossklags	Chair of Cyber Trust, Department of Informatics, Technical University Munich, Germany	10.1145/3531146.3533080
Afroditi	Papadaki	University College London, United Kingdom	10.1145/3531146.3533081
Natalia	Martinez	Duke University, USA	10.1145/3531146.3533081
Martin	Bertran	Duke University, USA	10.1145/3531146.3533081
Guillermo	Sapiro	Duke University, USA and Apple Inc., USA	10.1145/3531146.3533081
Miguel	Rodrigues	University College London, United Kingdom	10.1145/3531146.3533081
Anubha	Singh	School of Information, University of Michigan, USA	10.1145/3531146.3533082
Tina	Park	Partnership on AI, USA	10.1145/3531146.3533082
Abeba	Birhane	Mozilla Foundation &amp; University College Dublin, Ireland	10.1145/3531146.3533083
Pratyusha	Kalluri	Stanford University, USA	10.1145/3531146.3533083
Dallas	Card	University of Michigan, USA	10.1145/3531146.3533083
William	Agnew	University of Washington, USA	10.1145/3531146.3533083
Ravit	Dotan	University of Pittsburg, USA	10.1145/3531146.3533083
Michelle	Bao	Stanford University, USA	10.1145/3531146.3533083
Henry	Fraser	Queensland University of Technology, Centre for Automated Decision-Making and Society, Australia and Queensland University of Technology, Digital Media Research Centre, Australia	10.1145/3531146.3533084
Rhyle	Simcock	Queensland University of Technology, Centre for Automated Decision-Making and Society, Australia and Queensland University of Technology, Digital Media Research Centre, Australia	10.1145/3531146.3533084
Aaron J.	Snoswell	Queensland University of Technology, Centre for Automated Decision-Making and Society, Australia and Queensland University of Technology, Digital Media Research Centre, Australia	10.1145/3531146.3533084
Ronen	Gradwohl	Economics and Business Administration, Ariel University, Israel	10.1145/3531146.3533085
Moshe	Tennenholtz	Technion - Israel Institute of Technology, Israel	10.1145/3531146.3533085
Alexandra Sasha	Luccioni	Hugging Face, Canada	10.1145/3531146.3533086
Frances	Corry	University of Southern California, USA	10.1145/3531146.3533086
Hamsini	Sridharan	University of Southern California, USA	10.1145/3531146.3533086
Mike	Ananny	University of Southern California, USA	10.1145/3531146.3533086
Jason	Schultz	New York University, USA	10.1145/3531146.3533086
Kate	Crawford	University of Southern California, USA and Microsoft Research, USA	10.1145/3531146.3533086
Nathan	Kallus	Cornell University, USA and Netflix, USA	10.1145/3531146.3533087
Laura	Weidinger	DeepMind, United Kingdom	10.1145/3531146.3533088
Jonathan	Uesato	DeepMind, United Kingdom	10.1145/3531146.3533088
Maribeth	Rauh	DeepMind, United Kingdom	10.1145/3531146.3533088
Conor	Griffin	DeepMind, United Kingdom	10.1145/3531146.3533088
Po-Sen	Huang	DeepMind, United Kingdom	10.1145/3531146.3533088
John	Mellor	DeepMind, United Kingdom	10.1145/3531146.3533088
Amelia	Glaese	DeepMind, United Kingdom	10.1145/3531146.3533088
Myra	Cheng	DeepMind, United Kingdom and California Institute of Technology, USA	10.1145/3531146.3533088
Borja	Balle	DeepMind, United Kingdom	10.1145/3531146.3533088
Atoosa	Kasirzadeh	DeepMind, United Kingdom and University of Toronto, Canada	10.1145/3531146.3533088
Courtney	Biles	DeepMind, United Kingdom	10.1145/3531146.3533088
Sasha	Brown	DeepMind, United Kingdom	10.1145/3531146.3533088
Zac	Kenton	DeepMind, United Kingdom	10.1145/3531146.3533088
Will	Hawkins	DeepMind, United Kingdom	10.1145/3531146.3533088
Tom	Stepleton	DeepMind, United Kingdom	10.1145/3531146.3533088
Abeba	Birhane	DeepMind, United Kingdom and University College Dublin, Ireland	10.1145/3531146.3533088
Lisa Anne	Hendricks	DeepMind, United Kingdom	10.1145/3531146.3533088
Laura	Rimell	DeepMind, United Kingdom	10.1145/3531146.3533088
William	Isaac	DeepMind, United Kingdom	10.1145/3531146.3533088
Julia	Haas	DeepMind, United Kingdom	10.1145/3531146.3533088
Sean	Legassick	DeepMind, United Kingdom	10.1145/3531146.3533088
Geoffrey	Irving	DeepMind, United Kingdom	10.1145/3531146.3533088
Iason	Gabriel	DeepMind, United Kingdom	10.1145/3531146.3533088
Wiebke Toussaint	Hutiri	Technology, Policy &amp; Management / Engineering Systems &amp; Services / Cyber Physical Intelligence Lab, Delft University of Technology, Netherlands	10.1145/3531146.3533089
Aaron Yi	Ding	Technology, Policy &amp; Management/Engineering Systems &amp; Services / Cyber Physical Intelligence Lab, Delft University of Technology, Netherlands	10.1145/3531146.3533089
Andrew	Bell	New York University, USA	10.1145/3531146.3533090
Ian	Solano-Kamaiko	New York University, USA	10.1145/3531146.3533090
Oded	Nov	New York University, USA	10.1145/3531146.3533090
Julia	Stoyanovich	New York University, USA	10.1145/3531146.3533090
You Jeen	Ha	Korea Advanced Institute of Science and Technology, Republic of Korea	10.1145/3531146.3533091
David	Tedjopurnomo	RMIT University, Australia	10.1145/3531146.3533092
Zhifeng	Bao	RMIT University, Australia	10.1145/3531146.3533092
Farhana	Choudhury	The University of Melbourne, Australia	10.1145/3531146.3533092
Hui	Luo	RMIT University, Australia	10.1145/3531146.3533092
A. K.	Qin	Swinburne University of Technology, Australia	10.1145/3531146.3533092
Sandipan	Sikdar	RWTH Aachen University, Germany	10.1145/3531146.3533094
Florian	Lemmerich	University of Passau, Germany	10.1145/3531146.3533094
Markus	Strohmaier	University of Mannheim, Germany and GESIS - Leibniz Institute for the Social Sciences, Germany	10.1145/3531146.3533094
Han-Yin	Huang	Multimedia Computing Group, Delft University of Technology, Netherlands	10.1145/3531146.3533095
Cynthia C. S.	Liem	Multimedia Computing Group, Delft University of Technology, Netherlands	10.1145/3531146.3533095
Maurice	Jakesch	Cornell University, USA	10.1145/3531146.3533097
Zana	BuÃ§inca	Harvard University, USA	10.1145/3531146.3533097
Saleema	Amershi	Microsoft Research, USA	10.1145/3531146.3533097
Alexandra	Olteanu	Microsoft Research, Canada	10.1145/3531146.3533097
Angelina	Wang	Princeton University, USA	10.1145/3531146.3533099
Solon	Barocas	Microsoft Research, USA	10.1145/3531146.3533099
Kristen	Laird	Microsoft, USA	10.1145/3531146.3533099
Hanna	Wallach	Microsoft Research, USA	10.1145/3531146.3533099
Angelina	Wang	Princeton University, USA	10.1145/3531146.3533101
Vikram V	Ramaswamy	Princeton University, USA	10.1145/3531146.3533101
Olga	Russakovsky	Princeton University, USA	10.1145/3531146.3533101
Jonathan	Roth	Brown University, USA	10.1145/3531146.3533102
Guillaume	Saint-Jacques	Apple, USA	10.1145/3531146.3533102
YinYin	Yu	LinkedIn, USA	10.1145/3531146.3533102
Smitha	Milli	University of California, Berkeley, USA	10.1145/3531146.3533103
Luca	Belli	Twitter, USA	10.1145/3531146.3533103
Moritz	Hardt	Max Planck Institute for Intelligent Systems, Germany	10.1145/3531146.3533103
Mikaela	Meyer	Department of Statistics &amp; Data Science and Heinz College, Carnegie Mellon University, USA	10.1145/3531146.3533104
Aaron	Horowitz	American Civil Liberties Union, USA	10.1145/3531146.3533104
Erica	Marshall	Idaho Justice Project, USA	10.1145/3531146.3533104
Kristian	Lum	Department of Computer and Information Science, University of Pennsylvania, USA	10.1145/3531146.3533104
Kristian	Lum	Twitter, USA	10.1145/3531146.3533105
Yunfeng	Zhang	Twitter, USA	10.1145/3531146.3533105
Amanda	Bower	Twitter, USA	10.1145/3531146.3533105
Trystan S.	Goetze	Department of Philosophy, Harvard University, USA	10.1145/3531146.3533106
Benjamin	Laufer	Cornell Tech, USA	10.1145/3531146.3533107
Sameer	Jain	Carnegie Mellon University, USA	10.1145/3531146.3533107
A. Feder	Cooper	Cornell University, USA	10.1145/3531146.3533107
Jon	Kleinberg	Cornell University, USA	10.1145/3531146.3533107
Hoda	Heidari	Carnegie Mellon University, USA	10.1145/3531146.3533107
Anamaria	Crisan	Tableau Research, USA	10.1145/3531146.3533108
Margaret	Drouhard	Tableau Software, USA	10.1145/3531146.3533108
Jesse	Vig	Salesforce Research, USA	10.1145/3531146.3533108
Nazneen	Rajani	Salesforce Research, USA	10.1145/3531146.3533108
Hong	Shen	Carnegie Mellon University, USA	10.1145/3531146.3533110
Leijie	Wang	Tsinghua University, China	10.1145/3531146.3533110
Wesley H.	Deng	Carnegie Mellon University, USA	10.1145/3531146.3533110
Ciell	Brusse	Dutch Wikipedia, Netherlands	10.1145/3531146.3533110
Ronald	Velgersdijk	Dutch Wikipedia, Netherlands	10.1145/3531146.3533110
Haiyi	Zhu	Carnegie Mellon University, USA	10.1145/3531146.3533110
William	Boag	Massachusetts Institute of Technology, USA	10.1145/3531146.3533111
Harini	Suresh	Massachusetts Institute of Technology, USA	10.1145/3531146.3533111
Bianca	Lepe	Massachusetts Institute of Technology, USA	10.1145/3531146.3533111
Catherine	D'Ignazio	Massachusetts Institute of Technology, USA	10.1145/3531146.3533111
Tanya	Chowdhury	CIIR, CICS, UMass Amherst, USA	10.1145/3531146.3533112
Razieh	Rahimi	CIIR, CICS, UMass Amherst, USA	10.1145/3531146.3533112
James	Allan	CIIR, CICS, UMass Amherst, USA	10.1145/3531146.3533112
Wesley Hanwen	Deng	Human-Computer Interaction Institute, Carnegie Mellon University, USA	10.1145/3531146.3533113
Manish	Nagireddy	Carnegie Mellon University, USA	10.1145/3531146.3533113
Michelle Seng Ah	Lee	University of Cambridge, United Kingdom	10.1145/3531146.3533113
Jatinder	Singh	University of Cambridge, United Kingdom	10.1145/3531146.3533113
Zhiwei Steven	Wu	Carnegie Mellon University, USA	10.1145/3531146.3533113
Kenneth	Holstein	Carnegie Mellon University, USA	10.1145/3531146.3533113
Haiyi	Zhu	Carnegie Mellon University, USA	10.1145/3531146.3533113
Youjin	Kong	Philosophy, Oregon State University, USA	10.1145/3531146.3533114
Marilyn	Zhang	Stanford University, USA	10.1145/3531146.3533115
Konrad	Kollnig	University of Oxford, United Kingdom	10.1145/3531146.3533116
Anastasia	Shuba	Independent Researcher, USA	10.1145/3531146.3533116
Max	Van Kleek	University of Oxford, United Kingdom	10.1145/3531146.3533116
Reuben	Binns	University of Oxford, United Kingdom	10.1145/3531146.3533116
Nigel	Shadbolt	University of Oxford, United Kingdom	10.1145/3531146.3533116
Nina	Markl	University of Edinburgh, United Kingdom	10.1145/3531146.3533117
Mireia	Yurrita	Human Information Communication Design, TU Delft, Netherlands	10.1145/3531146.3533118
Dave	Murray-Rust	Human Information Communication Design, TU Delft, Netherlands	10.1145/3531146.3533118
Agathe	Balayn	Web Information Systems, TU Delft, Netherlands	10.1145/3531146.3533118
Alessandro	Bozzon	Knowledge and Intelligence Design, TU Delft, Netherlands	10.1145/3531146.3533118
Serena	Midha	Horizon CDT, University of Nottingham, United Kingdom	10.1145/3531146.3533119
Max L.	Wilson	Mixed Reality Lab, University of Nottingham, United Kingdom	10.1145/3531146.3533119
Sarah	Sharples	Faculty of Engineering, University of Nottingham, United Kingdom	10.1145/3531146.3533119
Mingzi	Niu	Rice University, USA	10.1145/3531146.3533121
Sampath	Kannan	University of Pennsylvania, USA	10.1145/3531146.3533121
Aaron	Roth	University of Pennsylvania, USA	10.1145/3531146.3533121
Rakesh	Vohra	University of Pennsylvania, USA	10.1145/3531146.3533121
Jessie J.	Smith	University of Colorado, Boulder, USA	10.1145/3531146.3533122
Saleema	Amershi	Microsoft Research, USA	10.1145/3531146.3533122
Solon	Barocas	Microsoft Research, USA	10.1145/3531146.3533122
Hanna	Wallach	Microsoft Research, USA	10.1145/3531146.3533122
Jennifer	Wortman Vaughan	Microsoft Research, USA	10.1145/3531146.3533122
Joseph	Donia	University of Toronto, Canada	10.1145/3531146.3533123
Anay	Mehrotra	Yale University, USA	10.1145/3531146.3533124
Bary S. R.	Pradelski	National Centre for Scientific Research (CNRS), France	10.1145/3531146.3533124
Nisheeth K.	Vishnoi	Yale University, USA	10.1145/3531146.3533124
Hortense	Fong	Yale University, USA	10.1145/3531146.3533126
Vineet	Kumar	Yale University, USA	10.1145/3531146.3533126
Anay	Mehrotra	Yale University, USA	10.1145/3531146.3533126
Nisheeth K.	Vishnoi	Yale University, USA	10.1145/3531146.3533126
Hendrik	Schuff	Bosch Center for Artificial Intelligence, Germany and University of Stuttgart, Germany	10.1145/3531146.3533127
Alon	Jacovi	Bar Ilan University, Israel	10.1145/3531146.3533127
Heike	Adel	Bosch Center for Artificial Intelligence, Germany	10.1145/3531146.3533127
Yoav	Goldberg	Bar Ilan University, Israel and Allen Institute for Artificial Intelligence, Israel	10.1145/3531146.3533127
Ngoc Thang	Vu	University of Stuttgart, Germany	10.1145/3531146.3533127
Avijit	Ghosh	Khoury College of Computer Sciences, Northeastern University, USA	10.1145/3531146.3533128
Matthew	Jagielski	Google Brain, USA	10.1145/3531146.3533128
Christo	Wilson	Khoury College of Computer Sciences, Northeastern University, USA	10.1145/3531146.3533128
Jad	Salem	Georgia Institute of Technology, USA	10.1145/3531146.3533129
Deven	Desai	Georgia Institute of Technology, USA	10.1145/3531146.3533129
Swati	Gupta	Georgia Institute of Technology, USA	10.1145/3531146.3533129
Harini	Suresh	Data + Feminism Lab, Massachusetts Institute of Technology, USA and CSAIL, Massachusetts Institute of Technology, USA	10.1145/3531146.3533132
Rajiv	Movva	Data + Feminism Lab, Massachusetts Institute of Technology, USA	10.1145/3531146.3533132
Amelia Lee	Dogan	Data + Feminism Lab, Massachusetts Institute of Technology, USA	10.1145/3531146.3533132
Rahul	Bhargava	School of Journalism, Northeastern University, USA	10.1145/3531146.3533132
Isadora	Cruxen	School of Business and Management, Queen Mary University of London, United Kingdom	10.1145/3531146.3533132
Angeles Martinez	Cuba	Data + Feminism Lab, Massachusetts Institute of Technology, USA	10.1145/3531146.3533132
Guilia	Taurino	Khoury College of Computer Sciences, Northeastern University, USA	10.1145/3531146.3533132
Wonyoung	So	Data + Feminism Lab, Massachusetts Institute of Technology, USA	10.1145/3531146.3533132
Catherine	D'Ignazio	Data + Feminism Lab, Massachusetts Institute of Technology, USA	10.1145/3531146.3533132
Chris	Norval	Compliant &amp; Accountable Systems Group, University of Cambridge, United Kingdom	10.1145/3531146.3533133
Kristin	Cornelius	Informatics Department, UCLA, Thousand Oaks, California, United States, USA	10.1145/3531146.3533133
Jennifer	Cobbe	Compliant &amp; Accountable Systems Group, University of Cambridge, United Kingdom	10.1145/3531146.3533133
Jatinder	Singh	Compliant &amp; Accountable Systems Group, University of Cambridge, United Kingdom	10.1145/3531146.3533133
Katrina	Geddes	New York University, USA	10.1145/3531146.3533134
Harmanpreet	Kaur	University of Michigan, USA	10.1145/3531146.3533135
Eytan	Adar	University of Michigan, USA	10.1145/3531146.3533135
Eric	Gilbert	University of Michigan, USA	10.1145/3531146.3533135
Cliff	Lampe	University of Michigan, USA	10.1145/3531146.3533135
Preetam	Nandy	LinkedIn Corporation, USA	10.1145/3531146.3533136
Cyrus	DiCiccio	While at LinkedIn Corporation, USA	10.1145/3531146.3533136
Divya	Venugopalan	LinkedIn Corporation, USA	10.1145/3531146.3533136
Heloise	Logan	LinkedIn Corporation, USA	10.1145/3531146.3533136
Kinjal	Basu	LinkedIn Corporation, USA	10.1145/3531146.3533136
Noureddine	El Karoui	While at LinkedIn Corporation, USA	10.1145/3531146.3533136
A. Feder	Cooper	Department of Computer Science, Cornell University, USA	10.1145/3531146.3533137
Gili	Vidan	Department of Information Science, Cornell University, USA	10.1145/3531146.3533137
Andrew	Hundt	School of Interactive Computing, Georgia Institute of Technology, USA	10.1145/3531146.3533138
William	Agnew	University of Washington, USA	10.1145/3531146.3533138
Vicky	Zeng	Johns Hopkins University, USA	10.1145/3531146.3533138
Severin	Kacianka	Technical University of Munich, Germany	10.1145/3531146.3533138
Matthew	Gombolay	School of Interactive Computing, Georgia Institute of Technology, USA	10.1145/3531146.3533138
Wanrong	Zhang	Harvard University, USA	10.1145/3531146.3533139
Olga	Ohrimenko	The University of Melbourne, Australia	10.1145/3531146.3533139
Rachel	Cummings	Columbia University, USA	10.1145/3531146.3533139
Aaron	Rieke	Upturn, USA	10.1145/3531146.3533140
Vincent	Southerland	New York University School of Law, USA	10.1145/3531146.3533140
Dan	Svirsky	Uber Technologies, Inc, USA	10.1145/3531146.3533140
Mingwei	Hsu	Upturn, USA	10.1145/3531146.3533140
Danish	Contractor	IBM, USA	10.1145/3531146.3533143
Daniel	McDuff	Microsoft, USA	10.1145/3531146.3533143
Julia Katherine	Haines	RAIL, USA	10.1145/3531146.3533143
Jenny	Lee	RAIL, USA	10.1145/3531146.3533143
Christopher	Hines	K&amp;L Gates, USA	10.1145/3531146.3533143
Brent	Hecht	Northwestern University, USA	10.1145/3531146.3533143
Nicholas	Vincent	Northwestern University, USA	10.1145/3531146.3533143
Hanlin	Li	Northwestern University, USA	10.1145/3531146.3533143
Camille	Harris	Georgia Institute of Technology, USA	10.1145/3531146.3533144
Matan	Halevy	Georgia Institute of Technology, USA	10.1145/3531146.3533144
Ayanna	Howard	The Ohio State University, USA	10.1145/3531146.3533144
Amy	Bruckman	Georgia Institute of Technology, USA	10.1145/3531146.3533144
Diyi	Yang	Georgia Institute of Technology, USA	10.1145/3531146.3533144
J.D.	Zamfirescu-Pereira	UC Berkeley, USA	10.1145/3531146.3533145
Jerry	Chen	Stanford University, USA	10.1145/3531146.3533145
Emily	Wen	Stanford University, USA	10.1145/3531146.3533145
Allison	Koenecke	Cornell University, USA	10.1145/3531146.3533145
Nikhil	Garg	Cornell Tech, USA	10.1145/3531146.3533145
Emma	Pierson	Cornell University, USA	10.1145/3531146.3533145
Zhen	Dai	University of Chicago, USA	10.1145/3531146.3533146
Yury	Makarychev	Toyota Technological Institute at Chicago, USA	10.1145/3531146.3533146
Ali	Vakilian	Toyota Technological Institute at Chicago, USA	10.1145/3531146.3533146
Leijie	Wang	Department of Computer Science and Technology, Tsinghua University, China	10.1145/3531146.3533147
Haiyi	Zhu	Human-Computer Interaction Institute, Carnegie Mellon University, USA	10.1145/3531146.3533147
Divya	Shanmugam	MIT, USA	10.1145/3531146.3533148
Fernando	Diaz	Google, USA	10.1145/3531146.3533148
Samira	Shabanian	Microsoft Research, Canada, Canada	10.1145/3531146.3533148
Michele	Finck	University of Tuebigen, Germany	10.1145/3531146.3533148
Asia	Biega	Max Planck Institute for Security and Privacy, Germany	10.1145/3531146.3533148
Emily	Black	Carngie Mellon University, USA	10.1145/3531146.3533149
Manish	Raghavan	Harvard SEAS, USA	10.1145/3531146.3533149
Solon	Barocas	Microsoft Research, USA	10.1145/3531146.3533149
A. Feder	Cooper	Department of Computer Science, Cornell University, USA	10.1145/3531146.3533150
Emanuel	Moss	Data &amp; Society, USA and Department of Information Science, Cornell Tech, USA	10.1145/3531146.3533150
Benjamin	Laufer	Department of Information Science, Cornell Tech, USA	10.1145/3531146.3533150
Helen	Nissenbaum	Department of Information Science, Cornell University, USA	10.1145/3531146.3533150
Maximilian T.	Fischer	University of Konstanz, Germany	10.1145/3531146.3533151
Simon David	Hirsbrunner	International Center for Ethics in the Sciences (IZEW), University of TÃ¼bingen, Germany	10.1145/3531146.3533151
Wolfgang	Jentner	University of Konstanz, Germany	10.1145/3531146.3533151
Matthias	Miller	University of Konstanz, Germany	10.1145/3531146.3533151
Daniel A.	Keim	University of Konstanz, Germany	10.1145/3531146.3533151
Paula	Helm	International Center for Ethics in the Sciences (IZEW), University of TÃ¼bingen, Germany	10.1145/3531146.3533151
Bryce	McLaughlin	Stanford Graduate School of Business, USA	10.1145/3531146.3533152
Jann	Spiess	Stanford Graduate School of Business, USA	10.1145/3531146.3533152
Talia	Gillis	Columbia Law School, USA	10.1145/3531146.3533152
Sebastian	Bordt	Department of Computer Science, University of TÃ¼bingen, Germany	10.1145/3531146.3533153
MichÃ¨le	Finck	Law Faculty, University of TÃ¼bingen, Germany	10.1145/3531146.3533153
Eric	Raidl	Ethics and Philosophy Lab, University of TÃ¼bingen, Germany	10.1145/3531146.3533153
Ulrike	von Luxburg	Department of Computer Science, University of TÃ¼bingen, Germany	10.1145/3531146.3533153
Isabel	Chien	Machine Learning Group, University of Cambridge, United Kingdom	10.1145/3531146.3533154
Nina	Deliu	MRC Biostatistics Unit, University of Cambridge, United Kingdom and MEMOTEF Department, Sapienza University of Rome, Italy	10.1145/3531146.3533154
Richard	Turner	Machine Learning Group, University of Cambridge, United Kingdom	10.1145/3531146.3533154
Adrian	Weller	Machine Learning Group, University of Cambridge, United Kingdom and The Alan Turing Institute, United Kingdom	10.1145/3531146.3533154
Sofia	Villar	MRC Biostatistics Unit, University of Cambridge, United Kingdom	10.1145/3531146.3533154
Niki	Kilbertus	Technical University of Munich, Germany and Helmholtz Munich, Germany	10.1145/3531146.3533154
Sun-ha	Hong	Simon Fraser University, Canada	10.1145/3531146.3533155
Mona	Sloane	University of TÃ¼bingen, Germany and New York University, USA	10.1145/3531146.3533156
Janina	Zakrzewski	University of TÃ¼bingen, Germany	10.1145/3531146.3533156
Abeba	Birhane	Mozilla Foundation, USA and School of Computer Science, University College Dublin, Ireland	10.1145/3531146.3533157
Elayne	Ruane	School of Computer Science, University College Dublin, Ireland	10.1145/3531146.3533157
Thomas	Laurent	School of Computer Science, University College Dublin, Ireland	10.1145/3531146.3533157
Matthew	S. Brown	School of Computer Science, Bucknell University, USA	10.1145/3531146.3533157
Johnathan	Flowers	Worcester State University, USA	10.1145/3531146.3533157
