paper_id	id	country_code
1469	535	USA
1478	536	USA
1483	537	USA
1484	538	GBR
1485	539	USA
1488	540	USA
1489	541	GBR
1491	542	USA
1495	543	GBR
1499	544	USA
1499	545	CAN
1499	546	AUS
1499	547	JPN
1499	548	GBR
1499	549	DEU
1501	550	GBR
1516	551	USA
1520	552	SWE
1520	553	CHN
1521	554	GBR
1523	555	GBR
1526	556	USA
1529	557	GBR
1532	558	GBR
1533	559	USA
1534	560	USA
1536	561	USA
1538	562	USA
1538	563	IND
1538	564	CHN
1538	565	BRA
1538	566	CAN
1539	567	USA
1542	568	GBR
1542	569	USA
1544	570	IND
1545	571	USA
1546	572	DEU
1549	573	USA
1553	574	USA
1554	575	BRA
1554	576	USA
1554	577	CAN
1554	578	IND
1554	579	NLD
1554	580	GBR
1554	581	BEL
1554	582	KHM
1554	583	CHN
1554	584	FRA
1554	585	ESP
1554	586	TWN
1554	587	BOL
1554	588	DNK
1554	589	FIN
1554	590	GEO
1554	591	IDN
1554	592	ISR
1554	593	JPN
1554	594	MEX
1554	595	SWE
1554	596	CHE
1555	597	USA
1569	598	BIH
1577	599	CAN
1580	600	GBR
1583	601	DEU
1585	602	FRA
1590	603	USA
1592	604	GBR
1593	605	ESP
1602	606	DEU
1603	607	USA
1604	608	USA
1610	609	USA
1611	610	USA
1614	611	USA
1615	612	GBR
1615	613	DEU
1616	614	CHN
1617	615	USA
1620	616	DEU
1622	617	AUS
1622	618	USA
1623	619	DEU
1624	620	DNK
1624	621	GBR
1628	622	GBR
1629	623	DEU
1635	624	USA
1635	625	IND
1637	626	JPN
1638	627	USA
1652	628	USA
1654	629	DNK
1658	630	KOR
1664	631	USA
1668	632	GBR
1672	633	USA
1678	634	USA
1690	635	CHN
1694	636	USA
1695	637	KOR
1697	638	GBR
1697	639	AUS
1697	640	CHN
1698	641	GBR
1701	642	AUS
1701	643	CAN
1701	644	DEU
1701	645	ITA
1701	646	JPN
1701	647	NLD
1701	648	GBR
1701	649	USA
1702	650	CHE
1704	651	CAN
1707	652	USA
1708	653	USA
1709	654	GBR
1710	655	SWE
1712	656	USA
1719	657	GBR
1723	658	IND
1727	659	USA
1735	660	FIN
1736	661	USA
1739	662	USA
1740	663	USA
1741	664	GBR
1746	665	USA
1747	666	USA
1761	667	USA
1761	668	GBR
1761	669	CAN
1761	670	AUS
1762	671	USA
1765	672	USA
1770	673	KOR
1772	674	USA
1775	675	USA
1779	676	USA
1786	677	DEU
1788	678	DNK
1790	679	BEL
1792	680	AUT
1794	681	GBR
1799	682	GBR
1808	683	KOR
1810	684	KOR
1812	685	IND
1812	686	PAK
1812	687	BGD
1816	688	TUR
1832	689	GBR
1833	690	BGD
1835	691	KOR
1836	692	USA
1842	693	GBR
1842	694	LVA
1842	695	NOR
1844	696	CAN
1846	697	CAN
1852	698	USA
1853	699	GBR
1854	700	TWN
1860	701	USA
1863	702	USA
1867	703	USA
1876	704	USA
1876	705	SGP
1876	706	KOR
1879	707	CHE
1880	708	GBR
1882	709	IND
1882	710	PAK
1887	711	USA
1894	712	USA
1894	713	GBR
1895	714	USA
1896	715	KOR
1899	716	USA
1900	717	BRA
1901	718	NLD
1903	719	USA
1908	720	CHN
1909	721	IND
1913	722	SVN
1915	723	USA
1916	724	GBR
1917	725	USA
1918	726	USA
1919	727	AUS
1919	728	PHL
1919	729	COL
1919	730	MYS
1919	731	CHL
1919	732	TUR
1919	733	USA
1920	734	DEU
1923	735	USA
1926	736	SVN
1926	737	GBR
1926	738	TUR
1926	739	ARE
1926	740	USA
1926	741	CAN
1926	742	PHL
1926	743	BRA
1926	744	AUT
1928	745	GBR
1928	746	AUT
1932	747	GBR
1939	748	USA
1939	749	CAN
1939	750	AUS
1939	751	COL
1945	752	NLD
1946	753	TWN
1947	754	USA
1948	755	USA
1949	756	USA
1957	757	DEU
1960	758	DEU
1964	759	THA
1968	760	KEN
1968	761	BGR
1968	762	AUS
1968	763	CHN
1968	764	FIN
1969	765	USA
1969	766	NLD
1969	767	FRA
1969	768	GBR
1977	769	IND
1978	770	JPN
1983	771	DEU
1987	772	USA
1988	773	BGD
1989	774	SWE
1989	775	SWE
1993	776	GBR
1997	777	CAN
1999	778	USA
2000	779	CAN
2006	780	USA
2007	781	CHN
2008	782	AUS
2013	783	USA
2014	784	CAN
2015	785	CAN
2029	786	GBR
2029	787	USA
2029	788	AUS
2029	789	CAN
2029	790	NOR
2033	791	GBR
2033	792	IND
2034	793	USA
2035	794	AUS
2036	795	CHN
2037	796	KOR
2043	797	GBR
2046	798	USA
2049	799	USA
2051	800	USA
2062	801	USA
2062	802	IND
2062	803	CAN
2065	804	USA
2067	805	PAK
2067	806	PAK
2067	807	PAK
2068	808	USA
2075	809	USA
2075	810	AUS
2079	811	CAN
2088	812	USA
2089	813	USA
2092	814	AUS
2093	815	USA
2094	816	GBR
2096	817	CAN
2096	818	USA
2097	819	USA
2106	820	USA
2108	821	GBR
2110	822	USA
2111	823	TUR
2115	824	GBR
2115	825	GBR
2116	826	USA
2118	827	CAN
2119	828	USA
2120	829	USA
2126	830	USA
2129	831	AUS
2129	832	PHL
2131	833	CAN
2135	834	KOR
2138	835	USA
2138	836	CAN
2142	837	DEU
2142	838	MEX
2142	839	MNG
2142	840	POL
2148	841	CAN
2149	842	USA
2150	843	USA
2153	844	USA
2157	845	USA
2157	846	IND
2158	847	USA
2161	848	USA
2163	849	BGD
2166	850	USA
2167	851	DEU
2168	852	DEU
2173	853	USA
2174	854	USA
2178	855	PHL
2178	856	JPN
2178	857	CAN
2179	858	CHN
2181	859	USA
2186	860	GBR
2187	861	DEU
2188	862	IND
2189	863	FIN
2197	864	GBR
2198	865	USA
2200	866	AUS
2206	867	IRL
2206	868	BEL
2207	869	GBR
2207	870	BRA
2218	871	USA
2219	872	PAK
2222	873	ISR
2226	874	USA
2229	875	GBR
2229	876	NLD
2229	877	SWE
