paper_id	id	country	city	nb_participants
1185	417	USA	Berkeley	11
1188	418	USA		61
1189	419	LSO		54
1192	420	SGP	Singapore	9
1193	421	JPN	Tokyo	5
1194	422	USA	Ann Arbor	12
1198	423	USA	Atlanta	8
1198	424	USA	Pittsburgh	4
1206	425	SAU	Jeddah	13
1206	426	SAU	Mecca	1
1207	427	GBR	Newcastle upon Tyne	6
1208	428	USA		158
1209	429	GBR		26
1216	430	MYS		20
1218	431	TWN		26
1124	432	AUS	Melbourne	13
1125	433	DNK	Aalborg	84
1238	434	CAN	Waterloo	21
1239	435	USA	College Park	20
1240	436	USA		886
1241	437	USA	Syracuse	12
1242	438	CHN	Shanghai	16
1245	439	IND		22
1250	440	GBR		15
1252	441	USA		18
1253	442	USA		45
1258	443	USA	Pittsburgh	16
1264	444	USA		24
1265	445	DEU		15
1266	446	USA		277
1266	447	GBR		35
1266	448	CAN		25
1266	449	AUS		20
1267	450	USA	Boston	37
1270	451	USA		40
1273	452	CHN	Beijing	28
1275	453	USA		29
1277	454	USA		86
1278	455	USA		1300
1280	456	USA	Pittsburgh	12
1282	457	USA	Seattle	20
1283	458	USA	Orlando	36
1284	459	CAN	Vancouver	20
1285	460	GBR	Bath	18
1293	461	USA		481
1295	462	USA		30
1297	463	IND	Chandigarh	13
1297	464	IND	Naraingarh	20
1297	465	IND		1
1301	466	CAN	Waterloo	18
1305	467	CHN		56
1306	468	FRA		25
1307	469	USA		135
1311	470	FRA		8
1311	471	GBR		12
1314	472	USA		2709
1315	473	CHE	Zurich	221
1318	474	USA		13
1321	475	USA		28
1322	476	USA		1040
1323	477	USA		20
1326	478	USA		175
1327	479	GBR		17
1328	480	KOR		8
1329	481	AUS		18
1330	482	JPN		20
1337	483	USA	Philadelphia	14
1348	484	USA		67
1350	485	GBR		7
1353	486	KOR		1063
1354	487	CAN	Vancouver	221
1359	488	DEU	Aachen	84
1360	489	USA		437
1361	490	USA		453
1364	491	USA		7
1370	492	GBR		18
1371	493	USA		8
1372	494	GBR		16
1373	495	GBR		12
1382	496	SWE	Stockholm	14
1385	497	USA	Berkeley	6
1387	498	CAN	Halifax	26
1388	499	DEU	Weimar	20
1389	500	GBR	London	20
1394	501	USA		13
1395	502	USA		48
1403	503	TUR	Istanbul	18
1404	504	CAN	Calgary	32
1405	505	JPN		40
1406	506	FIN	Tampere	12
1407	507	USA		49
1409	508	GBR		16
1411	509	GBR	London	32
1413	510	USA		20
1414	511	USA	San Fransisco	12
1420	512	USA		40
1425	513	USA		14
1426	514	USA		10
1426	515	NZL		3
1426	516	AUS		4
1430	517	GBR		22
1432	518	FIN		20
1433	519	FIN	Oulu	22
1434	520	USA		833
1434	521	GBR		127
1434	522	CAN		90
1434	523	AUS		76
1434	524	NZL		37
1435	525	USA		287
1438	526	USA		60
1446	527	DEU	Ulm	16
1447	528	USA		248
1448	529	AUS		15
1452	530	AUS	Sydney	12
1453	531	FRA	Paris	20
1460	532	GBR		8
1460	533	USA		3
1461	534	GBR		10
1469	535	USA		505
1478	536	USA	Champaign	40
1483	537	USA		60
1484	538	GBR		13
1485	539	USA	Newark	85
1488	540	USA		423
1489	541	GBR		4
1491	542	USA		36
1495	543	GBR		16
1499	544	USA		22
1499	545	CAN		2
1499	546	AUS		1
1499	547	JPN		1
1499	548	GBR		1
1499	549	DEU		1
1501	550	GBR	Newcastle upon Tyne	31
1516	551	USA		158
1520	552	SWE		2
1520	553	CHN		24
1521	554	GBR		1
1523	555	GBR	Lancaster	18
1526	556	USA		13
1529	557	GBR	Sheffield/Lincoln	14
1532	558	GBR	London	7
1533	559	USA	Atlanta	13
1534	560	USA		126
1536	561	USA		301
1538	562	USA		15100
1538	563	IND		13119
1538	564	CHN		5483
1538	565	BRA		2903
1538	566	CAN		2551
1539	567	USA		19
1542	568	GBR		3
1542	569	USA		7
1544	570	IND		27
1545	571	USA	Seattle	48
1546	572	DEU		51
1549	573	USA		264
1553	574	USA	Ann Arbor	5
1554	575	BRA		21
1554	576	USA		24
1554	577	CAN		4
1554	578	IND		3
1554	579	NLD		3
1554	580	GBR		3
1554	581	BEL		2
1554	582	KHM		2
1554	583	CHN		2
1554	584	FRA		2
1554	585	ESP		2
1554	586	TWN		2
1554	587	BOL		1
1554	588	DNK		1
1554	589	FIN		1
1554	590	GEO		1
1554	591	IDN		1
1554	592	ISR		1
1554	593	JPN		1
1554	594	MEX		1
1554	595	SWE		1
1554	596	CHE		1
1555	597	USA		307
1569	598	BIH		6
1577	599	CAN	Saskatoon	84
1580	600	GBR	London	20
1583	601	DEU	Aachen	21
1585	602	FRA	Paris	18
1590	603	USA		44
1592	604	GBR		169
1593	605	ESP	Barcelona	104
1602	606	DEU		18
1603	607	USA		165
1604	608	USA	San Francisco	12
1610	609	USA	Fort Collins	25
1611	610	USA	Pittsburgh	7
1614	611	USA		307
1615	612	GBR		40
1615	613	DEU		41
1616	614	CHN	Hong Kong	16
1617	615	USA	College Park	21
1620	616	DEU		19
1622	617	AUS		6
1622	618	USA		2
1623	619	DEU	Potsdam	12
1624	620	DNK	Aalborg	36
1624	621	GBR	Leicester	20
1628	622	GBR	Nottingham	15
1629	623	DEU		7
1635	624	USA		2268
1635	625	IND		327
1637	626	JPN		300
1638	627	USA		140
1652	628	USA	Provo	50
1654	629	DNK		28
1658	630	KOR		20
1664	631	USA		51
1668	632	GBR		33
1672	633	USA		266
1678	634	USA		120
1690	635	CHN	Beijing	16
1694	636	USA		255
1695	637	KOR		481
1697	638	GBR		23
1697	639	AUS		17
1697	640	CHN		13
1698	641	GBR	Lancaster	16
1701	642	AUS		1000
1701	643	CAN		1000
1701	644	DEU		1000
1701	645	ITA		1000
1701	646	JPN		1000
1701	647	NLD		1000
1701	648	GBR		1000
1701	649	USA		1000
1702	650	CHE	Fribourg	826
1704	651	CAN	Montreal	26
1707	652	USA		1200
1708	653	USA		14
1709	654	GBR	Southampton	60
1710	655	SWE	Linköping	13
1712	656	USA		402
1719	657	GBR	Newcastle upon Tyne	20
1723	658	IND	Bangalore	66
1727	659	USA	New York	26
1735	660	FIN	Helsinki	32
1736	661	USA		918
1739	662	USA		52
1740	663	USA		718
1741	664	GBR		85
1746	665	USA	Seattle	28
1747	666	USA	Atlanta	40
1761	667	USA		63
1761	668	GBR		21
1761	669	CAN		15
1761	670	AUS		6
1762	671	USA		76
1765	672	USA		877
1770	673	KOR		20
1772	674	USA		9
1775	675	USA	Seattle	50
1779	676	USA		74
1786	677	DEU	Stuttgart	24
1788	678	DNK	Copenhagen	20
1790	679	BEL	Leuven	9
1792	680	AUT		22
1794	681	GBR		62
1799	682	GBR	Bristol	12
1808	683	KOR		18
1810	684	KOR		12
1812	685	IND		103
1812	686	PAK		52
1812	687	BGD		44
1816	688	TUR		8
1832	689	GBR	Bath	53
1833	690	BGD	Dhaka	50
1835	691	KOR	Daejon	89
1836	692	USA		1515
1842	693	GBR		6
1842	694	LVA		1
1842	695	NOR		1
1844	696	CAN	Vancouver	7
1846	697	CAN		20
1852	698	USA		83
1853	699	GBR		40
1854	700	TWN	Taipeh	102
1860	701	USA		30
1863	702	USA		20
1867	703	USA	Pittsburgh	3
1876	704	USA		504
1876	705	SGP		1
1876	706	KOR		1
1879	707	CHE		60
1880	708	GBR		15
1882	709	IND		35
1882	710	PAK		21
1887	711	USA	West Lafayette	24
1894	712	USA		8
1894	713	GBR		3
1895	714	USA		23
1896	715	KOR		117
1899	716	USA	San Francisco	18
1900	717	BRA		92
1901	718	NLD		11
1903	719	USA		463
1908	720	CHN	Hong Kong	36
1909	721	IND		20
1913	722	SVN		136
1915	723	USA		8
1916	724	GBR		29
1917	725	USA		23
1918	726	USA	Ithaca	39
1919	727	AUS		15
1919	728	PHL		1
1919	729	COL		6
1919	730	MYS		2
1919	731	CHL		1
1919	732	TUR		1
1919	733	USA		1
1920	734	DEU	Munich	22
1923	735	USA	Washington D.C.	10
1926	736	SVN		1
1926	737	GBR		1
1926	738	TUR		1
1926	739	ARE		1
1926	740	USA		6
1926	741	CAN		1
1926	742	PHL		1
1926	743	BRA		1
1926	744	AUT		1
1928	745	GBR		98
1928	746	AUT	Vienna	42
1932	747	GBR		10
1939	748	USA		8
1939	749	CAN		1
1939	750	AUS		1
1939	751	COL		1
1945	752	NLD		18
1946	753	TWN		19
1947	754	USA		90
1948	755	USA		35
1949	756	USA		69
1957	757	DEU	Darmstadt	20
1960	758	DEU		90
1964	759	THA		170
1968	760	KEN		191
1968	761	BGR		118
1968	762	AUS		74
1968	763	CHN		65
1968	764	FIN		39
1969	765	USA		16
1969	766	NLD		1
1969	767	FRA		1
1969	768	GBR		2
1977	769	IND		28
1978	770	JPN	Tokyo	47
1983	771	DEU	Würzburg	11
1987	772	USA		16
1988	773	BGD		21
1989	774	SWE	Trelleborg	60
1989	775	SWE	Kvarnby	72
1993	776	GBR		254
1997	777	CAN	Montreal	17
1999	778	USA		180
2000	779	CAN	Toronto	20
2006	780	USA		20505
2007	781	CHN	Beijing	18
2008	782	AUS	Melbourne	20
2013	783	USA		7
2014	784	CAN	Vancouver	24
2015	785	CAN	Saskatoon	15
2029	786	GBR		25
2029	787	USA		9
2029	788	AUS		2
2029	789	CAN		2
2029	790	NOR		1
2033	791	GBR		144
2033	792	IND		23
2034	793	USA	Sacramento	93
2035	794	AUS	Melbourne	24
2036	795	CHN		18
2037	796	KOR	Seoul	15
2043	797	GBR		8
2046	798	USA		813
2049	799	USA		151
2051	800	USA		42
2062	801	USA		49
2062	802	IND		5
2062	803	CAN		1
2065	804	USA		53
2067	805	PAK	Lahore	7
2067	806	PAK	Faisalabad	6
2067	807	PAK	Gujranwala	7
2068	808	USA		815
2075	809	USA		54
2075	810	AUS		2
2079	811	CAN	Surrey	27
